metric_key,metric_name,metric_class,min_role_level,base_table,numerator_sql,denominator_sql,is_additive,grain_note,synonyms,description
avg_basket_size_value,Average Basket Value,ratio_money,HOD,v_sales_summary_daily,SUM(gross_sales_amount),SUM(transaction_count),FALSE,Never read a stored average column - the v2 avg_basket_value was a stored ratio and is dropped in v3,"[""basket size"",""average basket"",""ATV"",""average transaction value"",""spend per basket""]",Average spend per receipt. HOD only.
avg_basket_size_units,Average Basket Units,ratio_volume,EXEC,v_sales_summary_daily,SUM(quantity),SUM(transaction_count),FALSE,Compute at query time,"[""units per basket"",""items per basket"",""basket units""]",Average units per receipt. The executive-safe substitute for basket size.
sales_per_customer,Sales per Customer,ratio_money,HOD,v_customer_opco_monthly,SUM(total_revenue),COUNT(DISTINCT customer_key),FALSE,EXACT. Monthly grain only. HOD only.,"[""spend per customer"",""ARPU"",""revenue per customer""]",Average sales value per distinct customer. HOD only.
txn_per_customer,Transactions per Customer,ratio_volume,EXEC,v_customer_opco_monthly,SUM(transaction_count),COUNT(DISTINCT customer_key),FALSE,EXACT. Monthly grain only.,"[""visit frequency"", ""transactions per customer"", ""purchase frequency"", ""spend per customer""]",Average number of receipts per distinct customer.
best_daypart_by_sales,Best Performing Daypart (Sales),money,HOD,v_sales_summary_daily,SUM(gross_sales_amount),,TRUE,"GROUP BY daypart, daypart_seq then ORDER BY the measure DESC. There is no daypart dimension table to join.","[""best time"",""best daypart"",""peak time"",""best performing time"",""morning afternoon evening""]",Ranks Morning / Afternoon / Evening by sales value. HOD only.
best_daypart_by_txn,Best Performing Daypart (Transactions),volume,EXEC,v_sales_summary_daily,SUM(transaction_count),,TRUE,"GROUP BY daypart, daypart_seq then ORDER BY the measure DESC. There is no daypart dimension table to join.","[""best time"",""best daypart"",""peak hour"",""busiest time"",""morning afternoon evening""]",Ranks Morning / Afternoon / Evening by transaction volume. The executive-safe version.
daypart_sales_mix,Daypart Sales Mix,ratio_money,HOD,v_sales_summary_daily,SUM(gross_sales_amount),SUM(SUM(gross_sales_amount)) OVER (),FALSE,"GROUP BY daypart, daypart_seq. Use a window over the grouped total for the share.","[""daypart share"",""share of sales by time of day"",""sales mix by daypart""]",Each daypart's share of total sales for the period. HOD only.
yoy_sales_growth,YoY Sales Growth,ratio_money,HOD,v_sales_summary_daily,SUM(gross_sales_amount) FILTER (WHERE calendar_date BETWEEN :cur_from AND :cur_to) - SUM(gross_sales_amount) FILTER (WHERE calendar_date BETWEEN :ly_from AND :ly_to),SUM(gross_sales_amount) FILTER (WHERE calendar_date BETWEEN :ly_from AND :ly_to),FALSE,Pass BOTH date ranges explicitly. Do not derive the prior-year range with date arithmetic and do not filter on day-of-year - that drifts a day across a leap boundary.,"[""yoy growth"",""year on year"",""vs last year"",""growth"",""same period last year""]",Year-over-year sales growth for the same period. HOD only.
yoy_txn_growth,YoY Transaction Growth,ratio_volume,EXEC,v_sales_summary_daily,SUM(transaction_count) FILTER (WHERE calendar_date BETWEEN :cur_from AND :cur_to) - SUM(transaction_count) FILTER (WHERE calendar_date BETWEEN :ly_from AND :ly_to),SUM(transaction_count) FILTER (WHERE calendar_date BETWEEN :ly_from AND :ly_to),FALSE,Pass BOTH date ranges explicitly.,"[""yoy transaction growth"", ""traffic growth vs last year"", ""yoy growth"", ""growth"", ""year on year"", ""vs last year"", ""same period last year""]",Year-over-year transaction growth for the same period.
active_customers,Active Customers,volume,EXEC,v_customer_opco_monthly,COUNT(DISTINCT customer_key) FILTER (WHERE is_active_in_opco),,FALSE,customer_key is legal ONLY inside COUNT(DISTINCT),"[""active customers"",""active base""]",Distinct customers active in the OpCo during the month.
member_base,Member Base,volume,EXEC,v_customer_opco_monthly,COUNT(DISTINCT customer_key) FILTER (WHERE is_member),,FALSE,customer_key is legal ONLY inside COUNT(DISTINCT),"[""member base"",""total members"",""membership size""]",Distinct members in the OpCo during the month.
customers_by_tier,Customers by Membership Tier,volume,EXEC,v_customer_opco_monthly,COUNT(DISTINCT customer_key),,FALSE,GROUP BY membership_tier,"[""tier distribution"",""membership tier split""]",Distinct customer count per membership tier.
category_customers,Category Customers,volume,EXEC,v_customer_category_monthly,COUNT(DISTINCT customer_key),,FALSE,"customer_key is legal ONLY inside COUNT(DISTINCT). One row per customer per store per LEAF category, with every ancestor denormalised - filter category_l1_key..category_l4_key at whatever depth the question names. Do NOT filter category_level; COUNT(DISTINCT customer_key) already counts a customer once across the stores and leaf nodes they bought in.","[""category customers"",""category buyers"",""buyers of a category""]",Distinct customers who purchased in a category node during the month.
cross_opco_overlap,Cross-OpCo Customer Overlap,volume,EXEC,v_customer_opco_monthly,COUNT(DISTINCT customer_key),,FALSE,"One table. active_opco_codes is the set of OpCos the customer was active in THAT MONTH, so: WHERE month_start_date = <month> AND opco_code = '<yours>' AND active_opco_codes @> ARRAY['<target>']. Do NOT join a second customer view. The array is PER MONTH -- overlap anywhere in a longer period is cross_opco_overlap_period.","[""also a customer of"",""overlap"",""shared customers"",""how many are also"",""cross opco""]","Distinct customers of one OpCo who were also active in another, in the same month. Subject to small-cell suppression."
multi_opco_customers,Multi-OpCo Customers,volume,EXEC,v_customer_opco_monthly,COUNT(DISTINCT customer_key) FILTER (WHERE is_multi_opco_customer),,FALSE,"is_multi_opco_customer is denormalised onto every row of v_customer_opco_monthly, so no GROUP BY is needed. customer_key is legal ONLY inside COUNT(DISTINCT).","[""multi opco"",""ecosystem customers"",""shop more than one""]",Distinct customers present in more than one OpCo.
cross_opco_overlap_period,Cross-OpCo Overlap Over a Period,volume,EXEC,v_customer_opco_monthly,SELECT count(*) FROM (SELECT customer_key FROM v_customer_opco_monthly WHERE month_start_date BETWEEN <from> AND <to> GROUP BY customer_key HAVING bool_or(active_opco_codes @> ARRAY['<a>']) AND bool_or(active_opco_codes @> ARRAY['<b>'])) x,,FALSE,"Pinned here because fact_customer_group_monthly was retired and its grain no longer enforces the distinction. active_opco_codes is a PER-MONTH set, so testing both OpCos in one predicate answers 'in the same month'. 'Anywhere in Q1' is a different, wider question and needs this grouped form -- getting it wrong silently narrows the answer rather than erroring.","[""overlap during the quarter"", ""also shopped at any point"", ""overlap over the period"", ""at some point also a customer""]","Distinct customers active in both OpCos at ANY point in a multi-month period, not necessarily the same month."
